displayName,joined,points,tier,totalBronzeMedals,totalGoldMedals,totalMedals,totalSilverMedals
Shitian Ni,2017-11-17T05:52:01.803Z,4647.0,expert,0,0,2,2
Shannon McNish,2016-11-14T21:11:20.803Z,4636.0,expert,3,0,3,0
Riccardo Nizzolo,2015-05-12T08:22:36.173Z,4635.0,expert,4,0,8,4
Scott Lowe,2014-09-16T15:43:49.34Z,4615.0,master,1,1,4,2
Lieneke,2014-09-26T11:38:34.327Z,4613.0,expert,1,1,2,0
Jacob Jan Paulus,2014-12-04T13:28:55.97Z,4613.0,expert,1,1,2,0
Terry Li,2016-04-13T01:00:47.273Z,4611.0,expert,2,0,2,0
Frederik,2013-08-06T18:49:50.02Z,4606.0,expert,1,0,5,4
David Maust,2011-11-28T03:45:55.273Z,4601.0,master,6,1,13,6
fchollet,2013-09-01T04:02:52.477Z,4594.0,master,1,3,7,3
mengbo,2015-01-13T14:50:33.657Z,4594.0,expert,2,0,4,2
Brendan Borin,2012-03-09T08:28:54.113Z,4592.0,expert,3,0,5,2
PrinceThomas,2016-04-10T13:11:40.1Z,4588.0,expert,2,0,3,1
Gavin Gray,2014-09-02T11:12:40.097Z,4584.0,master,1,1,4,2
Dmitry Volkov,2015-10-30T15:32:19.99Z,4584.0,expert,1,0,3,2
Liu Jilong,2017-01-01T00:07:32.023Z,4584.0,expert,0,0,2,2
Phaedrus,2015-01-05T03:12:28.79Z,4581.0,expert,0,0,2,2
Adam,2010-05-18T20:09:34Z,4573.0,master,2,1,8,5
Emilio Simoni,2014-08-25T13:54:27.91Z,4572.0,expert,4,0,6,2
ChaseWind,2014-09-29T20:11:36.29Z,4570.0,expert,3,0,5,2
Richard,2016-04-25T13:46:37.263Z,4569.0,expert,2,0,3,1
JamesEverard,2016-10-05T06:42:36.63Z,4561.0,expert,1,0,3,2
Charlie Turner,2011-02-07T17:16:35Z,4560.0,master,7,1,15,7
sxzircon,2015-01-20T17:32:48.533Z,4552.0,expert,2,0,6,4
JasonYang,2015-10-16T02:01:34.157Z,4551.0,expert,1,0,2,1
erkut,2016-06-25T00:43:02.397Z,4532.0,expert,1,0,4,3
Eugene Khvedchenya,2017-12-19T08:38:54.55Z,4526.0,expert,1,1,2,0
TensorFrozen,2015-09-20T11:13:23Z,4523.0,expert,1,0,2,1
Bartek,2013-06-27T13:46:50.577Z,4519.0,expert,2,0,4,2
maciejk,2014-10-03T14:11:17.433Z,4518.0,master,0,2,3,1
joostgp,2016-05-23T22:33:40.843Z,4516.0,expert,3,1,5,1
WangDong,2017-01-15T06:15:42.89Z,4516.0,expert,0,1,2,1
Ting Ting Liu,2017-10-24T20:43:32.403Z,4515.0,expert,3,0,3,0
Negelis,2012-11-05T05:01:31.613Z,4510.0,expert,1,0,2,1
BK,2015-04-28T18:00:40.283Z,4504.0,expert,2,0,4,2
wintershw,2016-10-22T19:53:32.97Z,4501.0,expert,1,0,3,2
DatumX,2015-08-09T20:41:07.92Z,4491.0,expert,3,0,4,1
sedielem,2012-04-27T15:02:41Z,4488.0,master,1,3,5,1
CodeBender,2014-09-19T15:56:26.997Z,4484.0,expert,1,0,2,1
Marcelo Romero,2017-06-08T17:14:09.563Z,4479.0,expert,1,0,2,1
Valeriy Ischenko,2012-04-26T19:48:49.26Z,4465.0,expert,1,0,4,3
Ryan Epp,2017-08-06T00:20:41.947Z,4459.0,expert,1,0,2,1
udibr,2014-04-13T21:50:50.407Z,4450.0,master,1,2,6,3
xyun,2017-03-15T02:36:09.633Z,4448.0,expert,2,0,3,1
boooeee,2011-04-04T19:44:14.807Z,4444.0,expert,0,1,2,1
PavelTroshenkov,2015-10-26T16:37:35.227Z,4443.0,expert,4,0,4,0
Artem Erokhin,2015-06-16T18:37:59.52Z,4440.0,expert,0,0,2,2
johnsonav,2011-04-05T05:02:17.35Z,4439.0,expert,1,0,7,6
Yuichi Fujikawa,2016-09-03T23:56:44.923Z,4437.0,expert,2,0,3,1
Raghuram Reddy,2013-09-21T01:33:43.763Z,4433.0,expert,1,0,3,2
Mathis Antony,2011-03-07T08:06:44Z,4420.0,master,0,1,5,4
Sam Shleifer,2013-11-06T20:29:10.227Z,4420.0,expert,1,0,2,1
Andrei Dukhounik,2015-03-16T09:06:53.263Z,4415.0,expert,0,0,2,2
Anton Petrov,2014-05-13T15:22:16.047Z,4408.0,expert,0,0,2,2
ChandanPanda,2015-06-15T18:39:32.483Z,4406.0,expert,2,0,3,1
AnilPandey,2015-11-10T01:14:29.067Z,4391.0,expert,2,0,3,1
edam,2017-11-21T12:43:41.963Z,4391.0,expert,2,0,2,0
qbit271,2017-01-21T01:43:44.8Z,4390.0,expert,1,0,3,2
RagnarLodbrok,2015-04-02T10:15:42.593Z,4387.0,expert,2,0,3,1
hahaKing,2016-09-15T13:48:42.433Z,4385.0,expert,1,0,3,2
Saibal ,2015-06-03T06:44:57.277Z,4377.0,expert,3,0,3,0
hairykrishna,2015-12-07T11:54:10.007Z,4371.0,expert,0,0,2,2
Ferz,2017-06-25T10:27:22Z,4368.0,expert,3,0,3,0
Massimiliano,2015-11-13T08:32:30.723Z,4365.0,expert,2,0,4,2
Kostya Proskudin,2015-08-17T13:43:55.897Z,4364.0,expert,1,0,4,3
LivingProgram,2016-01-18T22:35:50.427Z,4363.0,expert,3,0,3,0
Dieter,2017-11-17T06:39:22.317Z,4360.0,expert,0,0,2,2
qufu,2017-02-23T12:31:27.947Z,4354.0,expert,1,0,2,1
Moustafa Alzantot,2013-04-28T11:34:00.427Z,4352.0,expert,0,1,2,1
Chedy,2015-03-06T08:44:06.287Z,4352.0,master,0,1,3,2
Adhir Badul,2015-02-28T15:00:53.507Z,4350.0,expert,5,0,7,2
Krzysztof Dziedzic,2015-07-02T23:08:52.193Z,4350.0,master,1,1,5,3
Konstantin Nikolaev,2017-05-02T13:15:20.99Z,4345.0,expert,0,0,3,3
Dzianis Sivets,2015-02-15T20:11:49.99Z,4343.0,expert,1,0,2,1
Bilal ML,2017-12-31T18:18:20.833Z,4342.0,expert,2,0,2,0
pist,2015-06-02T16:28:54.637Z,4338.0,expert,2,0,4,2
x2x4x8,2015-03-18T21:16:32.4Z,4335.0,master,0,3,3,0
Danai Avgerinou,2017-10-24T23:12:44.517Z,4333.0,expert,2,0,2,0
roylei,2016-10-27T07:12:16.647Z,4329.0,expert,0,0,2,2
Tasos Vafeiadis,2017-11-24T12:34:23.363Z,4326.0,expert,1,0,2,1
Andrzej Prałat,2014-08-18T08:13:42.003Z,4325.0,expert,2,1,4,1
Tenniel Miao,2016-03-24T15:54:44.587Z,4318.0,expert,2,0,3,1
Ivan Timoshilov,2017-02-16T16:09:06.68Z,4317.0,expert,1,1,2,0
Miha Pelko,2015-03-18T21:55:32.19Z,4314.0,expert,0,1,2,1
swkeemink,2015-03-30T16:00:12.39Z,4314.0,expert,0,1,2,1
Martino,2015-04-06T10:58:08.417Z,4314.0,expert,0,1,2,1
Liangkai Zhang,2016-04-08T00:37:36.307Z,4313.0,expert,0,0,2,2
Kinetik,2016-03-22T07:01:49.473Z,4307.0,expert,3,0,3,0
irinaai,2016-03-03T18:07:34.893Z,4298.0,expert,0,1,2,1
rubenvdgeer,2017-11-23T08:23:30.04Z,4292.0,expert,1,1,3,1
dune_dweller,2014-08-10T12:07:53.06Z,4289.0,master,3,1,8,4
Roman Chernenko,2015-09-25T08:35:31.813Z,4284.0,expert,0,0,3,3
Rashmi B,2014-04-08T16:57:03.19Z,4283.0,expert,1,0,3,2
dragonfly90217,2016-05-23T14:06:25.937Z,4277.0,expert,1,1,2,0
Jeru666,2016-09-16T12:20:00.88Z,4275.0,expert,1,1,2,0
sswt,2015-06-12T20:01:41.177Z,4271.0,expert,1,0,4,3
rmizuta,2017-03-04T10:41:29.32Z,4271.0,expert,1,0,3,2
lasershow,2017-09-22T05:31:14.68Z,4269.0,expert,0,0,3,3
Mikhail Pershin,2015-01-20T14:36:51.007Z,4264.0,expert,1,1,3,1
peaRrrr,2015-04-08T14:35:47.68Z,4264.0,expert,1,0,2,1
chronos,2015-03-27T08:05:46.773Z,4262.0,expert,1,0,5,4
Antoine Reveillon,2017-05-13T22:44:32.49Z,4262.0,expert,1,0,2,1
Fluxus,2012-02-11T18:25:56.69Z,4254.0,master,0,2,4,2
NNSMedia,2013-05-25T01:20:15.367Z,4251.0,expert,2,0,3,1
Teitlax,2016-03-23T18:10:11.177Z,4251.0,expert,0,0,2,2
nyoki-mtl,2016-09-11T10:37:01.01Z,4247.0,expert,1,0,2,1
GooDooDoo,2011-01-27T15:55:05Z,4241.0,expert,2,0,5,3
khattab,2014-01-29T11:23:05.483Z,4239.0,expert,4,0,5,1
li,2017-10-04T19:34:49.243Z,4239.0,expert,1,0,3,2
JZ,2014-12-22T19:25:00.233Z,4237.0,expert,0,0,2,2
lalthan,2015-08-08T14:04:04.627Z,4233.0,expert,2,0,2,0
PLA,2016-09-22T08:25:25.767Z,4231.0,expert,1,0,2,1
Heads or Tails,2017-04-09T17:55:28.85Z,4230.0,expert,3,0,3,0
Willem Mestrom,2011-02-28T20:45:59Z,4223.0,master,1,4,7,2
Marcelo Senaga,2017-11-05T11:01:13.633Z,4220.0,expert,2,0,3,1
Roman Pyankov,2016-12-25T16:20:17.283Z,4215.0,expert,3,0,3,0
fatihöztürk,2017-01-11T21:07:23.58Z,4204.0,expert,1,0,3,2
sabari nathan,2013-02-11T09:33:57.977Z,4202.0,expert,1,1,2,0
Benjamin Chu,2013-09-02T15:51:02.6Z,4202.0,expert,5,0,6,1
Thian Liang,2014-04-22T16:49:36.793Z,4202.0,expert,3,0,3,0
Vitaly Sedelnik,2017-02-14T15:40:15.45Z,4202.0,expert,2,0,3,1
Anton Laptiev,2015-05-26T03:32:59.673Z,4201.0,master,4,1,7,2
Yuan,2017-01-29T16:44:11.88Z,4201.0,expert,1,0,3,2
Kun Chen,2017-05-25T22:26:11.613Z,4201.0,expert,1,0,3,2
Long Nguyen,2013-10-27T10:30:24.647Z,4199.0,master,5,1,10,4
Eu Jin Lok,2010-10-21T13:24:27Z,4188.0,grandmaster,1,13,17,3
RyanHuang,2016-02-15T08:53:31.163Z,4185.0,expert,5,0,5,0
Subhajit Mandal,2012-12-04T04:07:57.287Z,4183.0,master,6,1,9,2
nexemjail,2016-02-23T20:45:03.19Z,4183.0,expert,2,0,3,1
SCP-055,2017-09-11T04:59:52.857Z,4180.0,expert,0,0,3,3
Charly B.,2013-11-26T10:14:10.657Z,4177.0,expert,2,1,3,0
tomer,2016-11-07T21:53:43.43Z,4176.0,expert,1,0,3,2
KulikAlex,2017-10-02T19:48:28.62Z,4174.0,expert,2,0,2,0
hardeeparora,2015-08-10T01:08:37.81Z,4167.0,expert,3,0,4,1
Charles Jansen,2016-05-30T14:55:28.717Z,4165.0,expert,4,0,4,0
Vitaly Bondar,2013-10-13T19:04:31.64Z,4156.0,expert,0,0,3,3
Sheng Guo,2016-09-29T16:01:14.117Z,4152.0,expert,1,0,2,1
Yinxiao Li,2018-01-22T02:32:11.603Z,4148.0,expert,1,0,2,1
Jason Sumpter,2012-05-12T19:03:41.473Z,4147.0,expert,1,0,4,3
ln,2015-02-09T10:42:39.72Z,4146.0,expert,2,0,4,2
Iwan Groźny,2014-07-01T15:17:07.583Z,4145.0,master,0,2,2,0
Eiji-K,2014-10-22T07:34:03.703Z,4144.0,expert,1,0,2,1
sanbarus,2015-07-17T17:28:06.287Z,4140.0,expert,0,0,2,2
Paolo Vigori,2012-06-21T22:02:03.277Z,4138.0,expert,2,0,2,0
HL5240,2015-05-05T19:44:15.22Z,4137.0,expert,0,0,3,3
MCOC,2012-08-23T05:34:04.263Z,4125.0,expert,1,0,2,1
ohnabe,2014-07-14T23:33:32.82Z,4124.0,expert,3,0,6,3
Siddharth,2013-01-30T20:59:18.11Z,4123.0,expert,1,0,4,3
nrcjea001,2015-10-24T11:15:43.57Z,4123.0,expert,0,0,2,2
xxxxgggg,2015-07-08T06:47:13.43Z,4122.0,expert,1,1,3,1
Stanwar,2016-02-07T22:25:00.81Z,4122.0,expert,1,0,3,2
Fabienvs,2016-05-30T13:21:16.267Z,4121.0,expert,0,0,2,2
liwzhi,2014-07-01T04:51:09.953Z,4118.0,expert,1,0,2,1
lancerts,2015-05-05T08:29:02.763Z,4116.0,expert,3,0,5,2
Oleg Chislov,2016-06-15T10:28:21.887Z,4109.0,expert,0,0,3,3
Sasha,2016-04-17T22:26:02.117Z,4108.0,expert,0,0,2,2
Miaochao Wang,2016-10-12T23:58:04.243Z,4104.0,expert,1,0,3,2
xbf,2017-10-20T15:13:43.077Z,4104.0,expert,1,0,3,2
friedeks,2017-06-03T09:59:16.363Z,4092.0,expert,2,0,2,0
Ivica Jovic,2013-08-22T12:59:43.96Z,4089.0,master,2,1,6,3
Terje,2013-12-11T18:51:47.107Z,4086.0,expert,1,0,2,1
Michal,2012-08-22T16:55:15.333Z,4078.0,master,0,1,3,2
AnnaBaby,2014-08-03T04:22:02.977Z,4075.0,expert,0,0,2,2
Evgeny Khinenzon,2016-10-07T12:42:12.19Z,4075.0,expert,1,0,3,2
TI,2016-02-16T03:54:12.977Z,4072.0,expert,2,0,2,0
sword_pen,2017-03-17T08:58:46.167Z,4071.0,expert,0,1,2,1
earhian,2017-11-07T15:52:23.967Z,4060.0,expert,0,0,2,2
yukiya,2017-11-23T03:31:52.34Z,4057.0,expert,1,0,2,1
Yuming Huang,2015-05-18T01:57:09.503Z,4055.0,expert,1,0,2,1
Liangliang Su,2018-04-01T02:31:05.693Z,4055.0,expert,1,0,2,1
Neil Slater,2012-12-15T19:14:36.327Z,4052.0,master,2,1,8,5
rjkc,2012-04-29T12:17:07.517Z,4041.0,expert,0,0,3,3
大黑楼,2017-06-15T04:16:11.667Z,4040.0,expert,1,0,3,2
Bo Peng,2015-07-15T21:34:55.507Z,4039.0,expert,1,0,2,1
William Green,2016-10-18T02:12:01.817Z,4037.0,expert,1,0,2,1
Ramiro Debbe,2016-07-02T01:25:55.047Z,4029.0,expert,2,0,2,0
Vladimir Savinov,2015-10-06T12:55:05.32Z,4025.0,expert,0,0,2,2
bran,2017-07-24T06:15:27.66Z,4024.0,expert,1,0,2,1
Yang Yu,2017-03-02T09:47:40.263Z,4022.0,expert,2,1,4,1
Momchil Georgiev,2011-04-06T03:16:07.437Z,4021.0,grandmaster,3,6,16,7
Maximilian Hahn,2016-05-20T08:27:26.02Z,4018.0,expert,0,0,2,2
Zephyr-D,2016-10-21T03:30:51.15Z,4013.0,expert,2,0,2,0
Andrew Lukyanenko,2016-09-24T18:37:08.813Z,4011.0,expert,2,0,2,0
Baser,2011-06-21T10:33:19.447Z,4007.0,expert,1,0,2,1
Michael Xiao,2015-07-09T17:10:48.03Z,4001.0,expert,2,0,3,1
Stanislav Chistyakov,2015-10-28T08:31:55.583Z,3999.0,expert,2,0,3,1
Scotty,2015-12-02T00:56:25.92Z,3998.0,expert,0,0,2,2
Daniel Korzekwa,2012-02-04T20:52:04.907Z,3993.0,master,0,2,3,1
ML,2015-04-29T10:00:32.943Z,3993.0,expert,0,0,2,2
demobin,2017-08-22T10:08:46.773Z,3992.0,expert,1,0,2,1
TheFOX,2014-07-27T13:26:32.517Z,3991.0,expert,2,0,3,1
楊亮魯,2015-03-16T08:33:11.327Z,3989.0,expert,1,0,4,3
Just4Fun,2015-04-23T07:41:27.1Z,3985.0,expert,0,0,2,2
ShawnNg,2016-05-13T13:25:36.817Z,3984.0,expert,0,1,2,1
Anton Protopopov,2015-06-10T03:28:23.873Z,3983.0,expert,3,0,3,0
xyjia,2016-11-15T11:51:55.21Z,3982.0,expert,2,0,3,1
Alex Howard,2017-10-24T20:43:52.757Z,3981.0,expert,2,0,2,0
B Shang,2012-09-29T01:17:35.223Z,3979.0,master,0,1,3,2
Esfandiar Alizadeh,2014-07-12T01:00:36.653Z,3978.0,expert,2,0,7,5
Sergazy Kalmurzayev,2016-03-29T13:43:12.273Z,3977.0,expert,0,0,2,2
Wong Ching Kit,2015-03-30T03:45:59.727Z,3974.0,expert,0,1,2,1
yu4u,2016-10-09T17:05:59.6Z,3968.0,expert,0,0,2,2
Charles Tintera,2015-06-08T08:09:23.377Z,3962.0,expert,1,0,2,1
Dmitriy Ukrainskiy,2016-10-07T21:17:11.107Z,3961.0,expert,0,0,2,2
LonglongJing,2016-11-17T17:18:15.113Z,3961.0,expert,1,0,3,2
Jojo John Moolayil,2014-10-26T16:33:11.187Z,3959.0,expert,2,0,3,1
jtlowery,2014-08-19T02:27:45.62Z,3958.0,expert,2,0,3,1
ATS,2015-06-09T08:51:16.207Z,3957.0,expert,3,0,4,1
Ubique,2013-06-14T07:51:56.053Z,3952.0,expert,2,0,3,1
razgon,2011-11-17T08:12:59.197Z,3951.0,master,14,2,21,5
londalemex,2015-09-07T18:08:58.027Z,3949.0,expert,0,0,2,2
Bing Xu,2012-05-21T12:00:05.76Z,3946.0,grandmaster,2,5,13,6
Euclides Filho,2013-05-02T00:20:31.607Z,3943.0,master,2,1,9,6
AlexTru,2016-02-16T08:15:56.073Z,3942.0,expert,3,0,3,0
mc07,2015-01-08T13:16:50.367Z,3941.0,expert,2,0,2,0
gaddawin,2011-05-25T17:18:27.913Z,3937.0,master,2,2,8,4
Michael Hills,2013-06-18T10:25:49.913Z,3936.0,expert,0,2,2,0
loweew,2012-07-04T00:23:25.627Z,3933.0,expert,3,0,6,3
Jekyll,2011-04-05T23:53:03.033Z,3931.0,expert,5,0,7,2
Manuel Díaz,2012-05-11T10:20:58.217Z,3930.0,expert,3,1,4,0
OlivierJeunen,2016-10-06T13:29:37.373Z,3930.0,expert,0,0,3,3
OE,2017-08-19T11:56:37.797Z,3929.0,expert,2,0,3,1
piby4,2015-01-25T06:03:46.773Z,3928.0,expert,3,0,3,0
Alex Ozerin,2016-01-16T22:50:12.097Z,3917.0,expert,2,0,4,2
Yanzhan Yang,2013-12-08T05:29:27.49Z,3914.0,expert,2,0,2,0
SDCS_Sicong,2016-05-11T07:30:19.937Z,3910.0,expert,0,1,2,1
Ft Zhang,2017-08-15T00:35:52.247Z,3902.0,expert,0,0,2,2
ziron,2015-02-23T05:52:07.497Z,3899.0,expert,3,0,3,0
TianweiXing,2016-06-20T22:45:43.687Z,3899.0,expert,0,1,2,1
Sikai Yin,2017-07-11T23:48:04.223Z,3899.0,expert,0,1,2,1
Supriyo,2017-09-01T20:33:01.18Z,3899.0,expert,0,1,2,1
Mani Srivastava,2017-09-01T21:53:50.84Z,3899.0,expert,0,1,2,1
Stanislav K.,2016-04-21T23:21:44.28Z,3893.0,expert,2,0,3,1
Ionstine,2014-04-21T02:17:17.227Z,3891.0,expert,1,0,4,3
No more overfitting ,2017-11-06T02:49:41.83Z,3886.0,expert,1,0,4,3
Shashi Godbole,2010-12-20T00:33:55Z,3885.0,master,7,4,19,8
Dieselboy,2013-01-08T11:27:21.67Z,3885.0,master,4,3,11,4
tour1st,2017-04-30T06:47:03.557Z,3885.0,expert,1,0,3,2
Biswa G Singh,2015-01-19T15:44:20.397Z,3883.0,expert,1,0,2,1
yskn67,2017-08-20T11:18:57.953Z,3880.0,expert,1,0,2,1
hustmonk,2012-11-28T03:39:57.513Z,3877.0,master,4,2,9,3
firolino,2016-11-18T14:55:44.41Z,3863.0,expert,1,0,4,3
saurk,2013-12-12T20:14:10.523Z,3862.0,master,7,1,10,2
dalgacik,2014-05-20T19:49:50.647Z,3857.0,expert,1,0,4,3
Oleksii Renov,2014-04-13T17:37:04.71Z,3856.0,master,5,1,10,4
Vincent L.,2015-04-14T06:38:16.107Z,3853.0,expert,0,0,3,3
Kostya Atarik,2018-01-11T17:49:05.79Z,3842.0,expert,0,0,2,2
HM,2017-01-15T10:34:21.503Z,3838.0,expert,1,0,2,1
Rohit Mehra,2016-10-16T22:22:50.48Z,3837.0,expert,1,0,3,2
dreamer,2012-06-26T20:04:10.937Z,3833.0,expert,5,0,6,1
Ricardo Merino Raldua,2015-01-12T14:20:18.03Z,3833.0,expert,1,0,3,2
Gerome Pistre,2015-03-31T07:27:26.847Z,3833.0,expert,4,1,6,1
inaba,2014-12-29T14:39:05.08Z,3830.0,expert,2,0,2,0
Young,2017-04-25T01:47:27.857Z,3827.0,expert,1,0,3,2
Kent Chiu,2015-10-28T12:40:09.927Z,3824.0,expert,2,0,2,0
Igor Samenko,2016-04-08T19:37:59.063Z,3822.0,expert,2,0,3,1
DuckTile,2011-09-05T02:43:30.06Z,3821.0,master,3,2,6,1
Stefan Henß,2011-03-20T23:01:46Z,3820.0,grandmaster,6,7,18,5
SiewKamOnn,2017-08-02T14:35:55.91Z,3813.0,expert,2,0,2,0
Sonny Liu,2017-09-10T23:52:55.62Z,3812.0,expert,0,0,3,3
Phat Hoang,2014-05-14T11:18:02.723Z,3810.0,expert,1,0,3,2
khả vi,2016-11-03T17:56:41.677Z,3810.0,expert,1,0,3,2
nkrnrnk,2015-04-22T08:04:43.753Z,3804.0,expert,1,0,2,1
Bhambhani Mohan,2015-09-01T06:06:00.857Z,3803.0,expert,2,0,2,0
Jayaraman,2012-09-14T07:09:07.563Z,3802.0,expert,3,0,5,2
diaman,2011-12-12T13:21:35.767Z,3797.0,expert,3,0,6,3
szywind,2015-09-19T15:35:25.4Z,3797.0,expert,1,0,2,1
Michael Levinson,2014-05-22T22:27:57.06Z,3788.0,expert,2,0,4,2
Arno Candel,2014-09-09T18:47:56.72Z,3788.0,master,3,1,6,2
harkmug,2012-12-04T16:34:14.77Z,3785.0,master,0,1,3,2
CarrDelling,2014-05-15T12:58:07.543Z,3784.0,expert,1,0,3,2
Alexey Lukyanov,2014-06-10T04:49:14.703Z,3778.0,expert,2,0,4,2
dudemeister,2017-01-12T11:29:22.337Z,3769.0,expert,0,0,2,2
Fan Fei Chong,2016-11-15T22:54:29.72Z,3762.0,expert,2,0,2,0
corroy,2014-07-31T07:40:11.317Z,3759.0,expert,2,0,7,5
Sasha Korekov,2016-02-17T06:59:45.867Z,3755.0,expert,2,0,3,1
Anthony Bell,2013-05-06T01:48:19.013Z,3747.0,master,4,1,7,2
Mikhail Artukhov,2012-08-08T23:15:10.653Z,3737.0,expert,0,0,2,2
Gaurav Chawla,2014-07-17T18:11:36.71Z,3736.0,expert,2,0,3,1
Fangorn,2015-04-23T07:22:39.777Z,3733.0,expert,0,0,2,2
Mark_AI,2016-05-22T01:51:21.397Z,3730.0,expert,1,0,3,2
Jean-Marc Wanka,2015-07-12T08:58:40.43Z,3729.0,expert,1,0,2,1
FabienDaniel,2016-12-07T08:46:46.13Z,3719.0,expert,0,0,2,2
Chen Ken,2013-12-30T06:20:13.9Z,3712.0,master,2,1,5,2
matt,2015-03-16T10:19:22.877Z,3702.0,expert,2,0,2,0
Humi Xu,2017-05-22T01:59:27.48Z,3687.0,expert,2,0,2,0
Inoddy,2011-08-30T02:13:43.477Z,3684.0,expert,7,0,12,5
Nemesis,2012-02-09T23:15:05.267Z,3684.0,expert,2,0,2,0
ahmad0790,2015-03-19T05:04:48.92Z,3683.0,master,3,1,6,2
JianYiJi,2014-11-25T05:13:40.537Z,3679.0,expert,1,0,2,1
VMK,2013-07-13T00:54:33.43Z,3677.0,expert,3,0,7,4
Baris Kanber,2017-03-18T18:19:20.44Z,3674.0,expert,2,0,5,3
Sean,2017-10-09T17:45:53.313Z,3674.0,expert,1,0,2,1
Nissim Matatov,2012-10-28T10:39:52.35Z,3672.0,expert,1,0,3,2
vik t,2015-12-23T21:49:18.997Z,3669.0,expert,2,0,2,0
Nir Malbin,2015-05-09T17:31:45.037Z,3652.0,master,1,1,4,2
BigMorning,2017-03-28T11:47:14.613Z,3650.0,expert,1,0,2,1
Cavor,2012-10-24T01:16:42.507Z,3649.0,expert,1,0,2,1
Shawn Xiao,2017-12-05T12:11:16.65Z,3649.0,expert,1,0,2,1
stys,2014-03-11T14:55:54.7Z,3648.0,expert,0,0,2,2
mcjordan,2017-05-25T07:16:40.477Z,3645.0,expert,1,1,2,0
arvidzt,2016-07-25T13:06:44.403Z,3643.0,expert,1,0,2,1
Mark Glickman,2010-08-19T11:57:31Z,3641.0,expert,2,0,2,0
lli,2013-06-10T14:06:14.5Z,3641.0,expert,4,0,9,5
ZYZ,2016-12-01T04:26:40.13Z,3641.0,expert,2,0,3,1
Prashanth Sekar,2015-07-24T13:28:41.053Z,3639.0,expert,2,0,3,1
ikretus,2012-12-31T15:43:41.96Z,3635.0,master,7,1,12,4
wenliangtlh,2016-07-11T06:43:18.927Z,3635.0,expert,1,0,3,2
Iaroslav Melekhov,2015-08-29T17:51:12.337Z,3632.0,expert,1,0,2,1
SatendraKumar,2015-12-24T17:03:11.973Z,3632.0,expert,3,0,5,2
muzifft,2017-03-30T18:57:01.333Z,3632.0,expert,2,0,4,2
Rudolph,2017-07-13T18:22:54.27Z,3632.0,expert,0,0,2,2
JUNE,2017-12-03T16:01:30.597Z,3628.0,expert,2,0,2,0
Julia Ivkina,2016-03-10T11:12:45.827Z,3621.0,expert,1,0,2,1
ytac8,2016-05-20T06:01:52.81Z,3621.0,expert,0,0,2,2
DarcyX,2016-11-21T23:58:03.53Z,3621.0,expert,2,0,2,0
Snow Dog,2014-10-08T15:07:06.027Z,3619.0,expert,5,0,7,2
Adish Jain,2017-06-07T03:55:40.277Z,3615.0,expert,2,0,2,0
Turing,2012-05-14T09:31:40.533Z,3610.0,expert,0,0,3,3
Kim Quy,2010-11-09T23:05:51Z,3606.0,master,2,1,6,3
Booster,2013-10-27T17:00:20.977Z,3602.0,expert,1,0,3,2
Sergey Tilga,2015-03-21T15:36:24.773Z,3602.0,expert,2,0,6,4
Vivek Pandey,2017-08-28T07:33:27.38Z,3598.0,expert,1,0,2,1
itdxer,2014-03-14T19:55:50.697Z,3589.0,expert,1,0,2,1
MakeMLGreateAgain,2018-01-13T05:40:58.817Z,3589.0,expert,2,0,3,1
Jacques Peeters,2016-03-19T23:42:30.41Z,3582.0,expert,2,0,3,1
CrazyStonesSmokingBarrels,2015-01-27T19:19:32.563Z,3579.0,expert,1,0,3,2
DeepData,2015-02-02T18:52:05.583Z,3578.0,expert,3,0,4,1
Hien To,2015-03-19T17:21:48.873Z,3576.0,master,1,1,4,2
vignesh vijayarajan,2015-10-13T11:28:43.113Z,3576.0,expert,2,0,3,1
Changtao Hou,2013-06-01T02:19:43.647Z,3575.0,expert,2,0,3,1
FSA,2015-09-10T18:53:12.677Z,3574.0,expert,3,0,3,0
Noah Xiao,2015-06-13T04:08:26.363Z,3571.0,expert,1,1,2,0
Rokoson,2013-04-19T04:36:02.88Z,3569.0,master,1,2,6,3
Sasho Nedelkoski,2016-08-31T01:05:33.44Z,3561.0,master,0,1,4,3
Gidi Shperber,2013-06-01T05:54:23.13Z,3560.0,expert,2,0,2,0
CYR_ISFA,2015-01-04T20:22:30.073Z,3560.0,master,2,2,6,2
Michael 5.,2015-03-23T06:56:20.863Z,3558.0,expert,1,0,2,1
JdPaletto,2015-07-26T05:34:18.5Z,3554.0,expert,1,0,3,2
Ilya Ivanov,2016-02-16T04:32:19.23Z,3550.0,expert,1,0,3,2
Nabin,2017-03-20T23:03:31.8Z,3549.0,expert,2,0,4,2
Afanasjev Dmitry,2012-06-14T13:02:19.647Z,3547.0,master,1,1,6,4
Alexander Vikulin,2014-11-14T18:18:32.58Z,3546.0,expert,1,1,2,0
GuoxinLi,2016-02-05T19:32:31.713Z,3543.0,expert,3,0,4,1
Taka,2017-02-22T15:22:59.257Z,3542.0,expert,1,0,2,1
Shan Yu,2015-05-15T19:22:07.88Z,3537.0,expert,2,0,3,1
Moomin,2015-08-12T05:56:56.53Z,3536.0,expert,0,1,2,1
John Park,2012-08-19T08:53:46.69Z,3524.0,expert,5,0,12,7
GM,2012-05-02T08:09:26.667Z,3521.0,master,1,1,3,1
