displayName,joined,points,tier,totalBronzeMedals,totalGoldMedals,totalMedals,totalSilverMedals
Sang Phan,2016-03-14T15:00:39.997Z,7627.0,expert,0,2,2,0
dipdeep,2015-05-21T15:30:13.22Z,7587.0,expert,2,0,6,4
danieleewww,2015-10-29T09:12:16.027Z,7586.0,expert,2,0,2,0
RW,2014-01-21T22:50:28.71Z,7574.0,master,2,3,9,4
aldente,2015-04-04T09:59:00.01Z,7571.0,master,5,1,14,8
newebug,2015-04-04T07:51:20.533Z,7565.0,expert,1,0,4,3
SIDHARTH,2016-08-20T18:53:59.873Z,7561.0,expert,4,0,5,1
Rich He,2014-07-16T22:35:59.497Z,7554.0,expert,2,0,4,2
Andre,2013-10-15T18:32:59.923Z,7552.0,master,5,1,9,3
Eric Vos,2016-12-12T10:04:13.853Z,7543.0,expert,2,0,5,3
Yoshiyuki Ito,2017-04-27T04:57:17.567Z,7537.0,expert,4,0,5,1
Cong,2017-04-25T01:13:40.517Z,7529.0,expert,2,0,4,2
Taffey Lewis,2013-10-07T04:45:53.967Z,7516.0,expert,3,0,5,2
huschen,2016-01-14T11:24:20.8Z,7516.0,expert,1,0,2,1
small yellow duck,2013-09-24T16:33:29.15Z,7515.0,master,2,1,6,3
os,2014-08-16T14:46:47.76Z,7506.0,master,0,1,3,2
eagle4,2015-07-22T17:43:47.123Z,7487.0,expert,4,0,7,3
yingxiaowei,2016-06-06T07:41:42.753Z,7483.0,expert,0,1,2,1
James Requa,2017-04-02T07:36:29.793Z,7482.0,expert,2,0,5,3
senbong,2014-04-22T05:53:09.92Z,7463.0,master,4,2,13,7
Sanzhar,2017-07-20T07:33:47.483Z,7438.0,expert,5,0,5,0
Van de Rakt,2012-05-23T10:19:16.81Z,7420.0,expert,6,0,7,1
FernandoProcy,2015-08-24T04:07:19.507Z,7419.0,expert,6,0,11,5
Tod Wright,2015-06-26T00:18:03.493Z,7411.0,expert,5,0,9,4
igeti,2017-03-16T15:17:26.4Z,7411.0,master,0,1,3,2
Igor Pasechnik,2015-05-19T12:01:43.187Z,7403.0,master,1,1,4,2
Renat Bashirov,2013-09-15T09:15:10.28Z,7401.0,expert,1,2,3,0
ShengZhao,2017-01-23T02:54:57.617Z,7393.0,expert,0,0,3,3
ohadlights,2017-12-16T19:17:48.593Z,7389.0,expert,1,0,2,1
robibok,2014-07-03T07:52:45.267Z,7383.0,master,0,4,8,4
W. Yifan,2016-01-19T04:00:11.117Z,7380.0,expert,2,0,5,3
YourVenn,2016-08-09T01:58:46.357Z,7360.0,expert,1,0,5,4
DmitryKustikov,2016-08-25T14:02:24.64Z,7347.0,expert,3,0,4,1
Reynald Riviere,2015-06-05T11:24:53.953Z,7328.0,expert,3,0,11,8
EasyYi,2015-05-16T13:28:36.62Z,7326.0,master,1,1,5,3
